#srcNode   dstNode   bandwidth   metric  delay   queue 
Node0         Node1    1Mbps        1      2ms    250
Node0         Node2    1Mbps        1      2ms    250
Node0         Node3    1Mbps        1      2ms    250
Node0         Node4    1Mbps        1      2ms    250
Node0         Node5    1Mbps        1      2ms    250
Node0         Node6    1Mbps        1      2ms    250
Node0         Node7    1Mbps        1      2ms    250
Node0         Node8    1Mbps        1      2ms    250
Node0         Node9    1Mbps        1      2ms    250
Node0         Node10    1Mbps        1      2ms    250
Node0         Node11   1Mbps        1      2ms    250
Node0         Node12   1Mbps        1      2ms    250
Node0         Node13   1Mbps        1      2ms    250
Node2         Node14    1Mbps        1      2ms    250
Node2         Node15   1Mbps        1      2ms    250
Node2         Node16  1Mbps        1      2ms    250
Node2         Node13    1Mbps        1      2ms    250
Node2         Node40    1Mbps        1      2ms    250
Node3         Node17    1Mbps        1      2ms    250
Node3         Node18    1Mbps        1      2ms    250
Node3         Node19   1Mbps        1      2ms    250
Node3         Node20    1Mbps        1      2ms    250
Node3         Node4    1Mbps        1      2ms    250
Node3         Node21    1Mbps        1      2ms    250
Node3         Node22   1Mbps        1      2ms    250
Node3         Node23    1Mbps        1      2ms    250
Node3         Node13    1Mbps        1      2ms    250
Node3         Node24   1Mbps        1      2ms    250
Node3         Node39   1Mbps        1      2ms    250
Node4         Node14    1Mbps        1      2ms    250
Node4         Node26    1Mbps        1      2ms    250
Node4         Node27    1Mbps        1      2ms    250
Node4         Node28    1Mbps        1      2ms    250
Node4         Node29    1Mbps        1      2ms    250
Node4         Node30    1Mbps        1      2ms    250
Node4         Node5    1Mbps        1      2ms    250
Node4         Node31    1Mbps        1      2ms    250
Node4         Node21    1Mbps        1      2ms    250
Node4         Node32    1Mbps        1      2ms    250
Node4         Node33    1Mbps        1      2ms    250
Node5         Node6    1Mbps        1      2ms    250
Node10         Node34    1Mbps        1      2ms    250
Node10         Node13    1Mbps        1      2ms    250
Node10         Node35    1Mbps        1      2ms    250
Node10         Node36    1Mbps        1      2ms    250
Node10         Node37    1Mbps        1      2ms    250
Node10         Node38    1Mbps        1      2ms    250
Node11         Node12    1Mbps        1      2ms    250
Node12         Node16    1Mbps        1      2ms    250
Node13         Node41    1Mbps        1      2ms    250
Node13         Node42    1Mbps        1      2ms    250
Node13         Node43    1Mbps        1      2ms    250
Node13         Node44    1Mbps        1      2ms    250
Node13         Node21    1Mbps        1      2ms    250
Node13         Node45    1Mbps        1      2ms    250
Node13         Node46    1Mbps        1      2ms    250
Node13         Node47    1Mbps        1      2ms    250
Node13         Node48    1Mbps        1      2ms    250
Node13         Node49    1Mbps        1      2ms    250
Node13         Node50   1Mbps        1      2ms    250
Node13         Node51   1Mbps        1      2ms    250
Node13         Node52   1Mbps        1      2ms    250
Node13         Node53   1Mbps        1      2ms    250
Node13         Node54   1Mbps        1      2ms    250
Node13         Node55    1Mbps        1      2ms    250
Node13         Node56    1Mbps        1      2ms    250
Node13         Node57    1Mbps        1      2ms    250
Node14         Node58    1Mbps        1      2ms    250
Node14         Node59   1Mbps        1      2ms    250
Node14         Node60    1Mbps        1      2ms    250
Node14         Node61    1Mbps        1      2ms    250
Node14         Node62    1Mbps        1      2ms    250
Node14         Node63    1Mbps        1      2ms    250
Node14         Node64    1Mbps        1      2ms    250
Node14         Node65    1Mbps        1      2ms    250
Node14         Node21    1Mbps        1      2ms    250
Node14         Node66    1Mbps        1      2ms    250
Node21         Node22    1Mbps        1      2ms    250
Node21         Node67    1Mbps        1      2ms    250
Node22         Node46    1Mbps        1      2ms    250
Node22         Node68    1Mbps        1      2ms    250
Node24         Node69    1Mbps        1      2ms    250
Node24         Node70    1Mbps        1      2ms    250
Node24         Node71    1Mbps        1      2ms    250
Node24         Node72    1Mbps        1      2ms    250
Node24         Node81    1Mbps        1      2ms    250
Node24         Node73    1Mbps        1      2ms    250
Node24         Node74    1Mbps        1      2ms    250
Node24         Node75    1Mbps        1      2ms    250
Node24         Node76    1Mbps        1      2ms    250
Node24         Node77   1Mbps        1      2ms    250
Node24         Node78   1Mbps        1      2ms    250
Node24         Node79    1Mbps        1      2ms    250
Node24         Node54   1Mbps        1      2ms    250
Node24         Node80    1Mbps        1      2ms    250
Node25         Node27    1Mbps        1      2ms    250
Node27         Node63    1Mbps        1      2ms    250
Node46         Node47    1Mbps        1      2ms    250
Node52         Node82    1Mbps        1      2ms    250
Node52         Node83    1Mbps        1      2ms    250
Node52         Node54    1Mbps        1      2ms    250
Node52         Node84    1Mbps        1      2ms    250
Node52         Node85    1Mbps        1      2ms    250
Node52         Node86    1Mbps        1      2ms    250
Node52         Node87    1Mbps        1      2ms    250
Node52         Node88    1Mbps        1      2ms    250
Node52         Node89    1Mbps        1      2ms    250
Node52         Node90    1Mbps        1      2ms    250
Node52         Node91    1Mbps        1      2ms    250
Node52         Node92    1Mbps        1      2ms    250
Node54         Node93    1Mbps        1      2ms    250
Node54         Node94    1Mbps        1      2ms    250
Node54         Node95    1Mbps        1      2ms    250
Node54         Node96    1Mbps        1      2ms    250
Node54         Node97    1Mbps        1      2ms    250
Node54         Node98    1Mbps        1      2ms    250
Node54         Node99    1Mbps        1      2ms    250
Node54         Node100    1Mbps        1      2ms    250
Node54         Node101   1Mbps        1      2ms    250
Node54         Node102   1Mbps        1      2ms    250
Node54         Node103    1Mbps        1      2ms    250
Node54         Node104    1Mbps        1      2ms    250
Node54         Node105    1Mbps        1      2ms    250
Node54         Node106    1Mbps        1      2ms    250
Node54         Node80    1Mbps        1      2ms    250
Node54         Node107    1Mbps        1      2ms    250
Node54         Node108    1Mbps        1      2ms    250
Node54         Node109    1Mbps        1      2ms    250
Node54         Node110    1Mbps        1      2ms    250
Node54         Node111    1Mbps        1      2ms    250
Node54         Node112    1Mbps        1      2ms    250
Node54         Node113    1Mbps        1      2ms    250
Node54         Node114    1Mbps        1      2ms    250
Node54         Node115    1Mbps        1      2ms    250
Node54         Node116    1Mbps        1      2ms    250
Node54         Node117    1Mbps        1      2ms    250
Node56         Node118    1Mbps        1      2ms    250
Node56         Node119    1Mbps        1      2ms    250
Node56         Node120    1Mbps        1      2ms    250
Node56         Node121   1Mbps        1      2ms    250
Node56         Node122    1Mbps        1      2ms    250
Node56         Node80    1Mbps        1      2ms    250
Node56         Node123    1Mbps        1      2ms    250
Node58         Node59    1Mbps        1      2ms    250
Node58         Node124   1Mbps        1      2ms    250
Node58         Node125    1Mbps        1      2ms    250
Node58         Node126    1Mbps        1      2ms    250
Node58         Node75    1Mbps        1      2ms    250
Node58         Node127    1Mbps        1      2ms    250
Node58         Node128    1Mbps        1      2ms    250
Node58         Node129    1Mbps        1      2ms    250
Node58         Node72    1Mbps        1      2ms    250
Node58         Node130    1Mbps        1      2ms    250
Node58         Node131    1Mbps        1      2ms    250
Node59         Node132    1Mbps        1      2ms    250
Node59         Node133    1Mbps        1      2ms    250
Node59         Node134    1Mbps        1      2ms    250
Node59         Node135    1Mbps        1      2ms    250
Node59         Node136    1Mbps        1      2ms    250
Node59         Node137   1Mbps        1      2ms    250
Node59         Node60    1Mbps        1      2ms    250
Node59         Node138    1Mbps        1      2ms    250
Node59         Node139    1Mbps        1      2ms    250
